Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC90s,,Laminaria digitata,Kilclogher Head (Kilbaha Bay),52.57838129,-9.82788149,,,,JNCC
JNCC90s,,Laminaria digitata,S. of Cloghaunichy Point (S. of Mutton Island),52.79643077,-9.49569102,,,,JNCC
JNCC90s,,Laminaria digitata,S. of Cloghaunichy Point (S. of Mutton Island),52.79643077,-9.49569102,,,,JNCC
JNCC90s,,Laminaria digitata,"Rathlee Head, Lenadoon Point (Killala Bay)",54.28572206,-9.05906339,,,,JNCC
JNCC90s,,Laminaria digitata,Centre of Scotsman's Bay (Dublin Bay),53.29022407,-6.12856878,,,,JNCC
JNCC90s,,Laminaria digitata,Skerry SW of Garinish Island (Carrigavunig) (Sneem Harbour),51.79843229,-9.91985679,,,,JNCC
JNCC90s,,Laminaria digitata,Salt Lake rapids (Clifden Bay),53.47354623,-10.01987713,,,,JNCC
JNCC90s,,Laminaria digitata,Cus Island (Ardgroom Harbour),51.75836792,-9.86996354,,,,JNCC
JNCC90s,,Laminaria digitata,W Kitchen Cove (N Dunmanus Bay),51.596082,-9.6359695,,,,JNCC
JNCC90s,,Laminaria digitata,E of Illaunmaster (The Stags of Broadhaven to Belderrig Harbour),54.32779838,-9.63620267,,,,JNCC
JNCC90s,,Laminaria digitata,N of Carrickdorish (Lambay Island),53.49886799,-6.00854027,,,,JNCC
JNCC90s,,Laminaria digitata,Ballynacashlan (Downpatrick Head),54.31980557,-9.35580239,,,,JNCC
JNCC90s,,Laminaria digitata,NW of Abbey Island (Outer Kenmare River),51.75788352,-10.15160114,,,,JNCC
JNCC90s,,Laminaria digitata,"Belacoon Point, Kinvarra Bay (Kinvara Bay, South Bay, Galway Bay)",53.17230479,-8.95745758,,,,JNCC
JNCC90s,,Laminaria digitata,Furreera (Liscannor Bay),52.94323206,-9.43146049,,,,JNCC
JNCC90s,,Laminaria digitata,"Carrickfadda, E. of Aughris Head (Sligo Bay)",54.27423139,-8.7401238,,,,JNCC
JNCC90s,,Laminaria digitata,W side of New Quay channel (Inner Galway Bay),53.15778412,-9.08100233,,,,JNCC
JNCC90s,,Laminaria digitata,Ballycotton (S of Ballycotton Bay),51.83096712,-8.01667586,,,,JNCC
JNCC90s,,Laminaria digitata,S Rusheen Point (Killary Harbour),53.62039871,-9.85908269,,,,JNCC
JNCC90s,,Laminaria digitata,"Fort Promontory, N of Inishcrone (Killala Bay)",54.23434278,-9.09008539,,,,JNCC
JNCC90s,,Laminaria digitata,W side of Dooagh Beach (Achill Island),53.97269548,-10.13196559,,,,JNCC
JNCC90s,,Laminaria digitata,NW of Abbey Island (Outer Kenmare River),51.75788352,-10.15160114,,,,JNCC
JNCC90s,,Laminaria digitata,"Carrickabraghy, Doagh Isle (Malin Head)",55.31503227,-7.37565488,,,,JNCC
JNCC90s,,Laminaria digitata,Mizen Head,52.86425584,-6.07220387,,,,JNCC
JNCC90s,,Laminaria digitata,W of Cloghmore Point (Kilkieran Bay),53.24046786,-9.54728516,,,,JNCC
JNCC90s,,Laminaria digitata,Spanish Point (Mal Bay),52.85778901,-9.45734414,,,,JNCC
JNCC90s,,Laminaria digitata,"Carrickabraghy, Doagh Isle (Malin Head)",55.31503227,-7.37565488,,,,JNCC
JNCC90s,,Laminaria digitata,S of Lyalmore (Slyne Head area),53.43621164,-10.17209113,,,,JNCC
JNCC90s,,Laminaria digitata,"The Vico, S. of Sorrento Point (Killiney Bay)",53.2700206,-6.10411138,,,,JNCC
JNCC90s,,Laminaria digitata,S of Lyalmore (Slyne Head area),53.43621164,-10.17209113,,,,JNCC
JNCC90s,,Laminaria digitata,Entrance to Lough Athola (Mannin Bay),53.46644202,-10.07549043,,,,JNCC
JNCC90s,,Laminaria digitata,W of Cloghmore Point (Kilkieran Bay),53.24046786,-9.54728516,,,,JNCC
JNCC90s,,Laminaria digitata,"Rough Point (Magharee Islands, Tralee Bay)",52.32660686,-10.02240327,,,,JNCC
JNCC90s,,Laminaria digitata,Ballynacashlan (Downpatrick Head),54.31980557,-9.35580239,,,,JNCC
