"species","lng","lat"
"Alaria esculenta",-6.658897,55.21166
"Alaria esculenta",-6.194225,55.29053
"Alaria esculenta",-6.19436,55.29181
"Alaria esculenta",-5.534513,54.33572
"Alaria esculenta",-5.662429,54.22502
"Alaria esculenta",-5.605774,54.24997
"Alaria esculenta",-5.903441,54.09917
"Alaria esculenta",-5.662429,54.22502
"Alaria esculenta",-5.903441,54.09917
"Alaria esculenta",-5.605774,54.24997
"Alaria esculenta",-5.605774,54.24997
"Alaria esculenta",-5.903441,54.09917
"Alaria esculenta",-5.903441,54.09917
"Alaria esculenta",-5.903441,54.09917
"Alaria esculenta",-5.575176,54.27452
"Alaria esculenta",-5.575176,54.27452
"Alaria esculenta",-5.575176,54.27452
"Alaria esculenta",-5.575176,54.27452
"Alaria esculenta",-5.531728,54.30778
"Alaria esculenta",-5.64538,54.49696
"Alaria esculenta",-5.541497,54.47872
"Alaria esculenta",-5.533162,54.36083
"Alaria esculenta",-5.438353,54.47478
"Alaria esculenta",-5.540115,54.65571
"Alaria esculenta",-5.540115,54.65571
"Alaria esculenta",-5.582232,54.67723
"Alaria esculenta",-5.631691,54.68
"Alaria esculenta",-5.706804,54.66797
"Alaria esculenta",-5.706804,54.66797
"Alaria esculenta",-5.706804,54.66797
"Alaria esculenta",-5.69015,54.77008
"Alaria esculenta",-5.69015,54.77008
"Alaria esculenta",-5.689912,54.80153
"Alaria esculenta",-5.72182,54.84256
"Alaria esculenta",-5.72182,54.84256
"Alaria esculenta",-5.72182,54.84256
"Alaria esculenta",-5.72182,54.84256
"Alaria esculenta",-5.718354,54.84879
"Alaria esculenta",-5.718354,54.84879
"Alaria esculenta",-5.718354,54.84879
"Alaria esculenta",-5.724577,54.8489
"Alaria esculenta",-5.738426,54.85186
"Alaria esculenta",-5.812226,54.86938
"Alaria esculenta",-5.812226,54.86938
"Alaria esculenta",-5.842539,54.8852
"Alaria esculenta",-5.874197,54.90552
"Alaria esculenta",-5.903301,54.94556
"Alaria esculenta",-5.92875,54.96666
"Alaria esculenta",-5.967078,54.98079
"Alaria esculenta",-5.967078,54.98079
"Alaria esculenta",-5.967078,54.98079
"Alaria esculenta",-5.987987,55
"Alaria esculenta",-5.987987,55
"Alaria esculenta",-5.987987,55
"Alaria esculenta",-5.974181,55.02583
"Alaria esculenta",-5.974181,55.02583
"Alaria esculenta",-5.963895,55.04362
"Alaria esculenta",-5.963895,55.04362
"Alaria esculenta",-5.966521,55.05355
"Alaria esculenta",-6.032155,55.05553
"Alaria esculenta",-6.032155,55.05553
"Alaria esculenta",-6.053482,55.06755
"Alaria esculenta",-6.049349,55.08815
"Alaria esculenta",-6.046,55.09258
"Alaria esculenta",-6.03511,55.12295
"Alaria esculenta",-6.036589,55.12478
"Alaria esculenta",-6.036589,55.12478
"Alaria esculenta",-6.03297,55.1346
"Alaria esculenta",-6.03297,55.1346
"Alaria esculenta",-6.03297,55.1346
"Alaria esculenta",-6.039043,55.17063
"Alaria esculenta",-6.039043,55.17063
"Alaria esculenta",-6.107834,55.20945
"Alaria esculenta",-6.107834,55.20945
"Alaria esculenta",-6.115727,55.20868
"Alaria esculenta",-6.115727,55.20868
"Alaria esculenta",-6.127865,55.21785
"Alaria esculenta",-6.180243,55.27524
"Alaria esculenta",-6.180243,55.27524
"Alaria esculenta",-6.173046,55.29489
"Alaria esculenta",-6.173046,55.29489
"Alaria esculenta",-6.169609,55.30113
"Alaria esculenta",-6.171142,55.30205
"Alaria esculenta",-6.171142,55.30205
"Alaria esculenta",-6.171142,55.30205
"Alaria esculenta",-6.171142,55.30205
"Alaria esculenta",-6.171142,55.30205
"Alaria esculenta",-6.189903,55.30502
"Alaria esculenta",-6.189903,55.30502
"Alaria esculenta",-6.189903,55.30502
"Alaria esculenta",-6.189903,55.30502
"Alaria esculenta",-6.211855,55.30714
"Alaria esculenta",-6.211855,55.30714
"Alaria esculenta",-6.243135,55.31209
"Alaria esculenta",-6.243135,55.31209
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.261433,55.28989
"Alaria esculenta",-6.261433,55.28989
"Alaria esculenta",-6.261433,55.28989
"Alaria esculenta",-6.226541,55.29568
"Alaria esculenta",-6.201448,55.29352
"Alaria esculenta",-6.201448,55.29352
"Alaria esculenta",-6.201448,55.29352
"Alaria esculenta",-6.201448,55.29352
"Alaria esculenta",-6.201448,55.29352
"Alaria esculenta",-6.190721,55.28707
"Alaria esculenta",-6.190721,55.28707
"Alaria esculenta",-6.200931,55.27015
"Alaria esculenta",-6.200931,55.27015
"Alaria esculenta",-6.200931,55.27015
"Alaria esculenta",-6.200931,55.27015
"Alaria esculenta",-6.165345,55.22291
"Alaria esculenta",-6.171875,55.21762
"Alaria esculenta",-6.171875,55.21762
"Alaria esculenta",-6.247608,55.21064
"Alaria esculenta",-6.247608,55.21064
"Alaria esculenta",-6.247608,55.21064
"Alaria esculenta",-6.290763,55.23012
"Alaria esculenta",-6.290763,55.23012
"Alaria esculenta",-6.290763,55.23012
"Alaria esculenta",-6.331194,55.24056
"Alaria esculenta",-6.343839,55.23894
"Alaria esculenta",-6.343839,55.23894
"Alaria esculenta",-6.351547,55.24263
"Alaria esculenta",-6.351547,55.24263
"Alaria esculenta",-6.379834,55.24301
"Alaria esculenta",-6.461485,55.24586
"Alaria esculenta",-6.461485,55.24586
"Alaria esculenta",-6.488135,55.24799
"Alaria esculenta",-6.488135,55.24799
"Alaria esculenta",-6.488135,55.24799
"Alaria esculenta",-6.486495,55.24977
"Alaria esculenta",-6.486495,55.24977
"Alaria esculenta",-6.486495,55.24977
"Alaria esculenta",-6.486495,55.24977
"Alaria esculenta",-6.518333,55.23938
"Alaria esculenta",-6.518333,55.23938
"Alaria esculenta",-6.518333,55.23938
